id,latin_name,cyrillic_name,common_name,synonyms,section,content
18,Aconitum napellus,Аконитум,борец ядовитый,,ХАРАКТЕРИСТИКА,"Аконит растет на влажных горных лугах северной и центральной части Европы,

главным образом в Швейцарии, Германии и Швеции. Teste замечает, что он

имеет репутацию растения, более ядовитого для хищных животных, нежели для

травоядных.

Аконит был известен врачам задолго до появления гомеопатии.

Он применялся как потогонное средство, а также при ревматизме, ишиасе,

опухолях, но только будучи испытанным Hahnemann, это средство показало

свои истинные возможности. Это лекарство тесно связано со становлением

и развитием гомеопатического метода. Если Cinchona была для Hahnemann

«ньютоновым яблоком», то Aconitum стал мощным средством, позволившим

бороться с огромным количеством болезней, лечение которых в ту эпоху

сводилось к кровопусканиям.

Именно применение потенцированного аконита положило начало вытеснению

кровопусканий из повседневной медицинской практики.

Аконит, сильный и быстро действующий яд, будучи потенцирован, становится

одним из самых безопасных лекарств, одним из лучших помощников в детской

практике. Выше 3-й потенции - это мягко действующее лекарство для

пациентов любого возраста.

Быстрота действия Aconitum определяет его применение при состояниях

максимальной выраженности симптомов, например при азиатской холере,

ряде лихорадок, острых воспалениях. К состояниям этого же рода можно

отнести и внезапно развившуюся слепоту. Тем не менее, сфера действия

Aconitum не ограничена лишь острыми случаями. При соответствии

симптомов это лекарство способно излечивать и глубокую хроническую

патологию, например случаи уплотнения желез и лимфоузлов.Д-р Hughes

подчеркивает, что назначение Aconitum будет в полной мере гомеопатическим

при состоянии напряжения; в этом слове заключена основная идея Aconitum.

Это умственное или эмоциональное напряжение, проявляющееся испугом,

страхом или их последствиями, тревогой и страхом смерти; это напряжение

сосудистого тонуса при простуде, холере, кровопотере; это мышечное

напряжение при столбняке; это напряжение непроизвольной мускулатуры при

спазмах сердца и приступах астмы и это, наконец, на¬пряжение всех органов

чувств в виде сверхчувствительности ко всему, и особенно к боли; это также

специфическое онемение в отдельных частях, которые будто стянули

веревками, либо ощущение, что конечности или другие части тела туго связаны.

Таким образом, Aconitum будет проявлять лечебное действие в тех случаях,

где присутствует эта особая напряженность."
18,Aconitum napellus,Аконитум,борец ядовитый,,ПСИХИКА,"Выраженное возбуждение, мучительное, неутихающее беспокойство;

больной мечется, кричит, плачет, стонет, жалуется, упрекает.

Чувствительность и раздражительность.

В страхе предчувствует приближающуюся смерть; предсказывает день

своей смерти. Печаль.

Предчувствия; будто находится в состоянии ясновидения.

Антропофобия и мизантропия; не испытывает ни к кому привязанности.

Злобность. Больной пуглив, сердит и придирчив.

Малейший звук, даже музыка, кажется непереносимым.

Переменчивое душевное состояние: печаль, подавленность,

раздражительность, отчаяние сменяются живостью, оптимизмом и

игривостью, желанием петь и танцевать.

Раздражается по мелочам; обижается на любую шутку.

Нежелание говорить; на вопросы отвечает односложно.

Чередование приступов слезливости и смеха.

Сильная неутихающая тревога.

Тревога за свое здоровье, не верит в излечение.

Страх привидений. Страх темноты. Желание выскочить из постели.

Страхи и опасения Aconitum проявляются в боязни переходить улицу.

Психика парализована: не способен реагировать; ощущение, будто все

умственные процессы переместились в область желудка.

Приступы глупого, безумного поведения. Нечеткость мышления.

Делирий с подавленностью, печалью, отчаянием, бредом, выражением

ужаса на лице; однако полная потеря сознания бывает редко.

Делирий, главным образом ночью; сопровождается эйфорией.

Плохая память. Заболевания от страха, испуга, досады.

Каталепсия. Возбуждение. Последствия страха, испуга. Мания."
18,Aconitum napellus,Аконитум,борец ядовитый,,ТИП,"Здесь следует отметить полнокровие пациентов, ко¬торым показан Aconitum.

У них живой характер, желчная, нервная конституция, румяное лицо,

темные волосы.

Для них характерен активный прилив артериальной крови любого

происхождения, особенно вследствие простуды.

Непереносимость музыки."
18,Aconitum napellus,Аконитум,борец ядовитый,,НОЗОЛОГИИ,"Абсцесс перитонзиллярный. Амавроз. Ангина мембранозная. Астма. Астма

Миллера. Асцит. Бели. Белый болевой флебит. Бессонница. Болезнь

Ходжкина. Бронхит. Ветряная оспа. Воспаление придатков. Выпадение

матки. Геморрой. Гепатит. Гиперпирексия. Глоссит. Головная боль.

Головокружение. Гонорея. Грипп. Делирий. Дизентерия. Дисменорея.

Желтая лихорадка. Желтуха. Заикание. Зубная боль. Икота. Инсульт.

Каталепсия. Коклюш. Колики. Корь. Кровотечение маточное, носовое. Круп.

Ларингит. Лихорадка Денге. Лихорадка молочная. Лихорадка послеродовая.

Люмбаго. Мания. Менингит. Миелит. Насморк. Невралгия. Нефрит. Орхит.

Отеки. Отрыжка. Паралич. Паралич лицевого нерва. Перитонит послеродовой.

Плеврит. Плевродиния. Пневмония. Понос. Последствия вакцинации.

Потница. Прозопалгия односторонняя. Простуда. Пурпура. Рвота. Розеола.

Свинка. Сердцебиение. Скарлатина. Солнечный удар. Столбняк. Страх.

Судороги. Тетания. Тризм. Узловая эритема. Цистит. Чахотка. Эзофагит.

Энтерит. Энурез."
18,Aconitum napellus,Аконитум,борец ядовитый,,ОБЩИЕ СИМПТОМЫ,"Aconitum - одно из самых больших лекарств боли, наряду с Chamomilla и Coffea.

Боль непереносимая, сводящая с ума, имеет рвущий, режущий характер,

сопровождается беспокойством, онемением, покалыванием и ползанием мурашек.

Больной не может терпеть эту боль, не переносит прикосновения, укрывания.

Зубная боль Aconitum односторонняя, с гиперемией щеки на больной стороне.

Стреляющая, ревматическая боль от вина или от других горячительных напитков.

Недомогание, чаще ночью, кажется непереносимым, в целом уменьшается

в положении сидя.

Приступы боли с жаждой и гиперемией щек.

Ночью, когда боль становится непереносимой, а в конечностях появляется

ощущение усталости, неподвижность ухудшает состояние.

Выраженная чувствительность тела, особенно пораженных частей, к любому

движению и малейшему прикосновению.

Дурнота, особенно когда встает, с бледностью лица, которое было

гиперемированным в положении лежа.

Обморок, главным образом при вставании, иногда с приливом крови к голове,

звоном в ушах, мертвенной бледностью лица и дрожью.

Прилив крови к голове, сердцу, груди.

Каталептические приступы с плачем, скрипением зубами, икотой;

окоченением тела и громкими стенаниями.

Отечность всего тела, приобретающего черноватый оттенок.

Гиперпирексия.

Солнечный удар - одно из состояний, когда требуется применение этого

средства."
18,Aconitum napellus,Аконитум,борец ядовитый,,КОЖА,"Ощущение ползания мурашек по коже с зудом и шелушением, главным

образом в пораженных частях.

Желтый цвет лица. Кожа с желтоватым оттенком.

Гиперемированная, горячая, отечная, блестящая кожа с ужасными болями.

Стреляющая боль и ощущение раздражения то здесь, то там.

Пятна, похожие на блошиные укусы, на руках и на теле.

Маленькие прыщики, красные и зудящие.

Коревая сыпь. Сыпь у детей. Просовидная пурпура.

Узловая эритема. Потница. Пурпура. Розеола."
18,Aconitum napellus,Аконитум,борец ядовитый,,СОН,"Выраженная сонливость, даже на прогулке, чаще после обеда.

Полудрема с тревожными мыслями и учащенным дыханием.

Мелькают неясные образы, при закрытых глазах, без сна.

Бессонница с тревогой, с постоянным возбуждением, заставляющая метаться.

Бессонница с беспокойством (при закрытых глазах) и двигательным

возбуждением. Вздрагивает во сне.

Тревожные сны, кошмары. Тревожные сны с бормотанием и движениями.

Сны, подобные ясновидению. Поверхностный сон.

Не может лежать на боку.

Во время сна лежит на спине, положа руку под голову; или сидит, наклонив

голову вперед."
18,Aconitum napellus,Аконитум,борец ядовитый,,ЛИХОРАДКА,"Сухой жгучий жар с сильной жаждой, иногда (особенно в начале заболевания)

лихорадке предшествуют дрожь и озноб.

Жар, главным образом в голове и лице, с гиперемией щек, дрожанием всего

тела, гнетущей головной болью, слезливым настроением, склонностью к

жалобам и противоречию; или ощущение жара во всем теле, с гиперемией

щек, головной болью от движений глаз и блуждающими мыслями.

Озноб от малейшего раскрывания, хотя находится в тепле.

Холод во всем теле с внутренним жаром, холодностью лба и горячими

кончиками ушей; или с гиперемией щек и болью в конечностях; или с

ригидностью всего тела, жаром и гиперемией одной щеки и холодностью и

бледностью другой; глаза открыты, взгляд фиксирован, зрачки сужены и

расширяются с трудом.

Ощущение холода в кровеносных сосудах.

Холод и дрожание в пальцах, вслед за спазмами в икрах и подошвах.

Озноб усиливается в жаркой комнате; во время лихорадки постель

непереносима; больной хочет раскрыться.

Жар в лице с мрачными и отчаянными мыслями, позывами на рвоту; этому

предшествуют холод и дрожь в стопах и кистях.

Дрожание поднимается от стоп к грудной клетке.

Часто дрожание со жгучим жаром и сухостью кожи.

Воспалительная лихорадка и воспаление с сильным жаром, сухой и

горячей кожей, выраженной жаждой, гиперемированным лицом или

чередованием бледности и гиперемии лица, нервным возбуждением,

стонами и мучительным беспокойством, одышкой и приливом крови к голове.

Постоянная потливость укрытых частей тела. Кислый пот.

Пульс твердый, частый, возрастающий; полный, иногда интермиттирующий;

затем медленный, почти неощутимый (нитевидный).

Лихорадка после катетеризации. Лихорадка Денге. Желтая лихорадка.

Послеродовая лихорадка. Ремиттирующая лихорадка.

Лихорадка вследствие травмы.

Лихорадка вследствие воспаления уретры."
18,Aconitum napellus,Аконитум,борец ядовитый,,ПОТ,Пораженные или закрытые части тела потеют.
18,Aconitum napellus,Аконитум,борец ядовитый,,ГОЛОВА,"Ощущение, будто в мозг вбит гвоздь; чаще возникает от пребывания в жаркой комнате.

Ощущение, будто мозг свободно болтается в черепе; ухудшение от

малейшего движения и даже при разговоре или питье.

Ощущения в голове, как после ушиба; такое же ощущение в конечностях.

Оглушающая головная боль с ощущением стягивания, сжатия, напоминающая

судороги, в основном в области лба и у корня носа.

Ощущение шара, находящегося в голове, вокруг которого распространяется

холод. Ощущение доски в области лба.

Ощущение кипения и жара в голове, будто в мозг налит кипяток.

Ощущение, будто пациента тянут за волосы вверх.

Тяжесть и полнота в области лба и висков, с распиранием, будто туда

прилила вся жидкость организма; хуже от наклона вперед.

Полнота и тяжесть в области лба с ощущением, будто весь мозг выходит

из орбит; с тошнотой и головокружением; хуже от движения и разговора.

Стреляющая, бьющая, взрывающая головная боль.

Головная боль с тошнотой и рвотой.

Давящая, иногда односторонняя головная боль.

Прилив крови к голове с жаром и гиперемией лица или с ощущением жара в

мозге, выделением пота на сморщенной коже и бледностью лица.

Жар в голове; потливость головы сочетается с бледностью лица.

Воспаление мозга. Шум и треск в голове.

Головная боль как следствие воздействия холода или подавления пота,

с жужжанием в ушах, холодом в голове.

Aconitum излечивал многие случаи головной боли, возникшие от пребывания

на солнце, а также солнечные ожоги.

Головная боль в основном облегчается на свежем воздухе, усиливается в

теплой комнате.

В положении лежа уменьшается головная боль.

Головная боль усиливается от движения, разговора, когда больной встает из

лежачего положения, от питья; уменьшается на открытом воздухе.

Инсульт. Менингит."
