id,latin_name,cyrillic_name,common_name,synonyms,section,content
18,Aconitum napellus,Аконітум,борець отруйний,,ХАРАКТЕРИСТИКА,"Аконіт росте на вологих гірських луках північної та центральної частини Європи,

головним чином у Швейцарії, Німеччині та Швеції. Teste зауважує, що він

має репутацію рослини, більш отруйної для хижих тварин, ніж для

травоїдних.

Аконіт був відомий лікарям задовго до появи гомеопатії.

Він застосовувався як потогінний засіб, а також при ревматизмі, ішіасі,

пухлинах, але тільки будучи випробуваним Hahnemann, цей засіб показав

свої справжні можливості. Ці ліки тісно пов'язані зі становленням

та розвитком гомеопатичного методу. Якщо Cinchona була для Hahnemann

«Ньютоновим яблуком», то Aconitum став потужним засобом, що дозволив

боротися з величезною кількістю хвороб, лікування яких у ту епоху

зводилося до кровопускань.

Саме застосування потенційованого аконіту започаткувало витіснення

кровопускань із повсякденної медичної практики

Аконіт, сильна і швидко діюча отрута, будучи потенцірованою, стає

одним із найбезпечніших ліків, одним із найкращих помічників у дитячій

практиці. Вище 3-ї потенції - це м'яко діючі ліки для

пацієнтів будь-якого віку.

Швидкість дії Aconitum визначає його застосування при станах

максимальної вираженості симптомів, наприклад при азіатській холері,

ряд лихоманок, гострих запаленнях. До станів цього роду можна

віднести і сліпоту, що раптово розвинулася. Тим не менш, сфера дії

Aconitum не обмежена лише гострими випадками. Відповідно

симптомів ці ліки здатні виліковувати і глибоку хронічну

патологію, наприклад випадки ущільнення залоз та лімфовузлів.Д-р Hughes

наголошує, що призначення Aconitum буде повною мірою гомеопатичним.

при стані напруги; у цьому слові полягає основна ідея Aconitum.

Це розумова або емоційна напруга, що виявляється переляком,

страхом або їх наслідками, тривогою та страхом смерті; це напруження

судинного тонусу при застуді, холері, крововтраті; це м'язове

напруга при правця; це напруга мимовільної мускулатури при

спазмах серця та нападах астми і це, нарешті, напруга всіх органів

почуттів як надчутливості до всього, і особливо до болю; це також

специфічне оніміння в окремих частинах, які ніби стягнули

мотузками, чи відчуття, що кінцівки чи інші частини тіла туго пов'язані.

Таким чином, Aconitum буде проявляти лікувальну дію у тих випадках,

де є ця особлива напруженість."
18,Aconitum napellus,Аконітум,борець отруйний,,ПСИХІКА ТА ЕМОЦІЇ,"Виражене збудження, болісне, невгамовне занепокоєння;

хворий кидається, кричить, плаче, стогне, скаржиться, дорікає.

Чутливість та дратівливість.

У страху передчує смерть, що наближається; передбачає день

своєї смерті. Смуток.

Передчуття; ніби перебуває у стані ясновидіння.

Антропофобія та мізантропія; не відчуває ні до кого прихильності.

Злісність. Хворий полохливий, сердитий і прискіпливий.

Найменший звук, навіть музика, здається нестерпним.

Мінливий душевний стан: смуток, пригніченість,

дратівливість, розпач змінюються жвавістю, оптимізмом та

грайливістю, бажанням співати та танцювати.

Дратується по дрібницях; ображається на будь-який жарт.

Небажання говорити; питанням відповідає односложно.

Чергування нападів сльозливості та сміху.

Сильна невгамовна тривога.

Тривога за своє здоров'я, не вірить у лікування.

Страх привидів. Страх темряви. Бажання вискочити з ліжка.

Страхи та побоювання Aconitum виявляються у страху переходити вулицю.

Психіка паралізована: не здатна реагувати; відчуття, ніби все

розумові процеси перемістилися в ділянку шлунка.

Напади дурної, божевільної поведінки. Нечіткість мислення.

Делірій з пригніченістю, смутком, розпачом, маренням, виразом

страху на обличчі; проте повна непритомність буває рідко.

Делірій, головним чином уночі; супроводжується ейфорією.

Погана пам'ять. Захворювання від страху, переляку, досади.

Каталепсія. Порушення. Наслідки страху, переляку. Манія."
18,Aconitum napellus,Аконітум,борець отруйний,,ТИП І КОНСТИТУЦІЯ,"Тут слід зазначити повнокровність пацієнтів, яким показано Aconitum.

У них живий характер, жовчна, нервова конституція, рум'яне обличчя,

темне волосся.

Для них характерний активний приплив артеріальної крові будь-якого

походження, особливо внаслідок застуди.

Непереносимість музики."
18,Aconitum napellus,Аконітум,борець отруйний,,КЛІНІЧНЕ ЗАСТОСУВАННЯ (НОЗОЛОГІЇ),"Абсцес перитонзилярний. Амавроз. Ангіна мембранозна. Астма. Астма

Міллера. Асцит. Білі. Білий больовий флебіт. Безсоння. Хвороба

Ходжкіна. Бронхіт. Вітряна віспа. Запалення придатків. Випадання

матки. Геморой. Гепатит. Гіперпірексія. Глосит. Головний біль.

Запаморочення. Гонорея. Грип. Делірій. Дизентерия. Дисменорея.

Жовта лихоманка. Жовтяниця. Заїкуватість. Зубний біль. Гикавка. Інсульт.

Каталепсія. Коклюш. Коліки. Кір. Кровотеча маткова, носова. Круп.

Ларінгіт. Лихоманка Денге. Лихоманка молочна. Лихоманка післяпологова.

Люмбаго. Манія. Менінгіт. Мієліт. Нежить. Невралгія. Нефрит. Орхіт.

Набряки. Відрижка. Параліч. Параліч лицьового нерва. Перитоніт післяпологовий.

Плеврит. Плевродінія. Пневмонія. Пронос. Наслідки вакцинації

Потниця. Прозопалгія одностороння. Застуда. Пурпура. Блювота. Розеол.

Свинка. Серцебиття. Скарлатина. Сонячний удар. Правець. Страх.

Судоми. Тетанія. Тризм. Вузлова еритема. Цистит. Сухоти. Езофагіт.

Ентеріт. Енурез."
18,Aconitum napellus,Аконітум,борець отруйний,,ЗАГАЛЬНІ СИМПТОМИ,"Aconitum - одне з найбільших ліків болю, поряд з Chamomilla та Coffea.

Біль нестерпний, що зводить з розуму, має рвучий, ріжучий характер,

супроводжується занепокоєнням, онімінням, поколюванням та повзанням мурашок.

Хворий не може терпіти цей біль, не переносить дотику, приховування.

Зубний біль Aconitum односторонній, з гіперемією щоки на хворій стороні.

Стріляючий, ревматичний біль від вина або інших міцних напоїв.

Недуг, частіше вночі, здається нестерпним, загалом зменшується

сидячи в положенні.

Приступи болю зі спрагою та гіперемією щік.

Вночі, коли біль стає нестерпним, а в кінцівках з'являється

відчуття втоми, нерухомість погіршує стан.

Виражена чутливість тіла, особливо уражених частин, до будь-якого

руху та найменшого дотику.

Поганість, особливо коли встає, з блідістю обличчя, яке було

гіперемованим у положенні лежачи.

Непритомність, головним чином при вставанні, іноді з припливом крові до голови,

дзвіном у вухах, мертвою блідістю обличчя та тремтінням.

Приплив крові до голови, серця, грудей.

Каталептичні напади з плачем, скрипінням зубами, гикавкою;

задухання тіла і гучними стогнаннями.

Набряклість всього тіла, що набуває чорнуватий відтінок.

Гіперпірексія.

Сонячний удар - один із станів, коли потрібне застосування цього

кошти."
18,Aconitum napellus,Аконітум,борець отруйний,,ШКІРА,"Відчуття повзання мурашок по шкірі зі свербінням і лущенням, головним

чином у уражених частинах.

Жовтий колір обличчя. Шкіра із жовтуватим відтінком.

Гіперемова, гаряча, набрякла, блискуча шкіра з жахливими болями.

Стріляючий біль та відчуття роздратування то тут, то там.

Плями, схожі на блошині укуси, на руках та на тілі.

Маленькі прищики, червоні та сверблячі.

Корова висипка. Висипання у дітей. Просовидна пурпура.

Вузлова еритема. Потниця. Пурпура. Розеол."
18,Aconitum napellus,Аконітум,борець отруйний,,СОН І СНОВИДІННЯ,"Виражена сонливість, навіть на прогулянці, частіше після обіду.

Напівдроми з тривожними думками та прискореним диханням.

Миготять неясні образи, при закритих очах, без сну.

Безсоння з тривогою, з постійним збудженням, що змушує метатися.

Безсоння з занепокоєнням (при закритих очах) та руховим

збудженням. Здригається уві сні.

Тривожні сни, кошмари. Тривожні сни з бурмотінням та рухами.

Сни, подібні до ясновидіння. Поверхневий сон.

Не може лежати на боці.

Під час сну лежить на спині, поклавши руку під голову; або сидить, нахиливши

голову вперед."
18,Aconitum napellus,Аконітум,борець отруйний,,ЛИХОМАНКА (ТЕМПЕРАТУРА),"Сухий пекучий жар із сильною спрагою, іноді (особливо на початку захворювання)

лихоманці передують тремтіння і озноб.

Жар, головним чином у голові та обличчі, з гіперемією щік, тремтінням всього

тіла, гнітючим головним болем, сльозливим настроєм, схильністю до

скаргам та протиріч; або відчуття жару у всьому тілі, з гіперемією

щік, головним болем від рухів очей і блукаючими думками.

Озноб від найменшого розкриття, хоча перебуває у теплі.

Холод у всьому тілі з внутрішнім жаром, холодністю чола та гарячими

кінчиками вух; або з гіперемією щік та болем у кінцівках; або з

ригідністю всього тіла, жаром і гіперемією однієї щоки та холодністю та

блідістю іншої; очі відкриті, погляд фіксований, зіниці звужені та

розширюються насилу.

Відчуття холоду у кровоносних судинах.

Холод і тремтіння в пальцях, за спазмами в ликах і підошвах.

Озноб посилюється у спекотній кімнаті; під час лихоманки постіль

нестерпна; хворий хоче розкритися.

Жар в особі з похмурими та відчайдушними думками, покликами на блювоту; цьому

передують холод і тремтіння в стопах і кистях.

Тремтіння піднімається від стоп до грудної клітки.

Часто тремтіння з пекучим жаром та сухістю шкіри.

Запальна лихоманка та запалення з сильним жаром, сухий та

гарячою шкірою, вираженою спрагою, гіперемованим обличчям або

чергуванням блідості та гіперемії обличчя, нервовим збудженням,

стогонами і болісним занепокоєнням, задишкою та припливом крові до голови.

Постійна пітливість прихованих частин тіла. Кислий піт.

Пульс твердий, частий, зростаючий; повний, іноді інтермітує;

потім повільний, майже невідчутний (ниткоподібний).

Гарячка після катетеризації. Лихоманка Денге. Жовта лихоманка.

Післяпологова лихоманка. Ремітує лихоманка.

Гарячка внаслідок травми.

Гарячка внаслідок запалення уретри."
18,Aconitum napellus,Аконітум,борець отруйний,,ПІТ,Уражені чи закриті частини тіла пітніють.
18,Aconitum napellus,Аконітум,борець отруйний,,ГОЛОВА,"Відчуття, ніби в мозок вбито цвях; частіше виникає від перебування у спекотній кімнаті.

Відчуття, ніби мозок вільно бовтається у черепі; погіршення від

найменшого руху і навіть під час розмови чи пиття.

Відчуття у голові, як після забитого місця; таке ж відчуття у кінцівках.

Приголомшливий головний біль з відчуттям стягування, стиснення, що нагадує

судоми, в основному в області чола і біля кореня носа.

Відчуття кулі, що знаходиться в голові, навколо якої поширюється

холод. Відчуття дошки в області чола.

Відчуття кипіння та спека в голові, ніби в мозок налитий окріп.

Відчуття, ніби пацієнта тягнуть за волосся нагору.

Тяжкість і повнота в області лоба та скронь, з розпиранням, ніби туди

прилила вся рідина організму; гірше від нахилу вперед.

Повнота і вага в області чола з відчуттям, ніби весь мозок виходить

з орбіт; з нудотою та запамороченням; гірше від руху та розмови.

Стріляючий, б'ючий, вибухаючий головний біль.

Головний біль із нудотою та блюванням.

Що давить, іноді односторонній головний біль.

Приплив крові до голови із жаром та гіперемією обличчя або з відчуттям жару в

мозку, виділенням поту на зморщеній шкірі та блідістю обличчя.

Жар у голові; пітливість голови поєднується з блідістю обличчя.

Запалення мозку. Шум та тріск у голові.

Головний біль як наслідок впливу холоду чи придушення поту,

з дзижчанням у вухах, холодом у голові.

Aconitum лікував багато випадків головного болю, що виникли від перебування

на сонці, а також сонячні опіки.

Головний біль в основному полегшується на свіжому повітрі, посилюється в

тепла кімната.

У положенні лежачи зменшується головний біль.

Головний біль посилюється від руху, розмови, коли хворий встає з

лежачого становища, від пиття; зменшується на свіжому повітрі.

Інсульт. Менінгіт."
